what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298288512
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1343298290215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298294621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298318073
error,log,,,"Internal Error",1343298331229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298332292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298332479
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298361275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298361432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298379369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298379369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298379447
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298409477
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298412165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298413540
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1343298416321
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343298416352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298444726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298452054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1343298465663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298466726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298529287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298536505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298549380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298556927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298565083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343298566192
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1343298567926
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298578379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298579770
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298579848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298609613
error,log,,,"Internal Error",1343298613472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1343298620269
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343298623175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298631909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343298632128
